amazing : amazingly = apparent : apparently -> ['apparent', 'amazingly', 'apparently', 'exceedingly', 'obvious']
amazing : amazingly = calm : calmly -> ['calm', 'amazingly', 'remarkably', 'levelheaded', 'level-headed']
amazing : amazingly = cheerful : cheerfully -> ['cheerful', 'amazingly', 'soft-spoken', 'kind-hearted', 'mannered']
amazing : amazingly = complete : completely -> ['complete', 'amazingly', 'remarkably', 'surprisingly', 're-write']
amazing : amazingly = efficient : efficiently -> ['efficient', 'cost-effective', 'inefficient', 'robust', 'cost-efficient']
amazing : amazingly = fortunate : fortunately -> ['fortunate', 'amazingly', 'terribly', 'evidently', 'unlucky']
amazing : amazingly = free : freely -> ['free', 'amazingly', 'pretty', 'very', 'webhosting']
amazing : amazingly = furious : furiously -> ['furious', 'amazingly', 'distraught', 'infuriated', 'terribly']
amazing : amazingly = happy : happily -> ['happy', 'terribly', 'amazingly', 'glad', 'thankful']
amazing : amazingly = immediate : immediately -> ['immediate', 'amazingly', 'extremely', 'unequivocal', 'terribly']
amazing : amazingly = infrequent : infrequently -> ['infrequent', 'amazingly', 'exceedingly', 'extremely', 'infrequently']
amazing : amazingly = lucky : luckily -> ['lucky', 'amazingly', 'unlucky', 'terribly', 'surprisingly']
amazing : amazingly = most : mostly -> ['most', 'very', 'quite', 'extremely', 'amazingly']
amazing : amazingly = obvious : obviously -> ['obvious', 'amazingly', 'obviously', 'imho', 'indeed']
amazing : amazingly = occasional : occasionally -> ['occasional', 'infrequent', 'amazingly', 'occasionally', 'extremely']
amazing : amazingly = possible : possibly -> ['possible', 'quite', 'too', 'very', 'fairly']
amazing : amazingly = precise : precisely -> ['precise', 'accurate', 'imprecise', 'succinct', 'amazingly']
amazing : amazingly = professional : professionally -> ['professional', 'semi-professional', 'professionally', 'semi-pro', 'amazingly']
amazing : amazingly = quick : quickly -> ['quick', 'amazingly', 'remarkably', 'fairly', 'terribly']
amazing : amazingly = quiet : quietly -> ['quiet', 'amazingly', 'remarkably', 'cheerful', 'calm']
amazing : amazingly = rapid : rapidly -> ['rapid', 'remarkably', 'amazingly', 'relatively', 'slow']
amazing : amazingly = rare : rarely -> ['rare', 'amazingly', 'remarkably', 'very', 'exceedingly']
amazing : amazingly = reluctant : reluctantly -> ['reluctant', 'hesitant', 'unwilling', 'unable', 'loath']
amazing : amazingly = safe : safely -> ['safe', 'amazingly', 'remarkably', 'reasonably', 'safer']
amazing : amazingly = serious : seriously -> ['serious', 'severe', 'terribly', 'life-threatening', 'amazingly']
amazing : amazingly = slow : slowly -> ['slow', 'amazingly', 'sluggish', 'fast', 'remarkably']
amazing : amazingly = sudden : suddenly -> ['sudden', 'incapacitation', 'premature', 'terribly', 'amazingly']
amazing : amazingly = swift : swiftly -> ['swift', 'amazingly', 'surprisingly', 'remarkably', 'terribly']
amazing : amazingly = typical : typically -> ['typical', 'remarkably', 'fairly', 'very', 'quite']
amazing : amazingly = unfortunate : unfortunately -> ['unfortunate', 'amazingly', 'terribly', 'regrettable', 'unfortunately']
amazing : amazingly = usual : usually -> ['usual', 'somewhat', 'amazingly', 'quite', 'problematically']
apparent : apparently = calm : calmly -> ['calm', 'apparently', 'calmed', 'quiet', 'sober']
apparent : apparently = cheerful : cheerfully -> ['cheerful', 'good-natured', 'kind-hearted', 'soft-spoken', 'fun-loving']
apparent : apparently = complete : completely -> ['complete', 'apparently', 'completely', 'evidently', 'essentially']
apparent : apparently = efficient : efficiently -> ['efficient', 'cost-effective', 'robust', 'apparently', 'efficiently']
apparent : apparently = fortunate : fortunately -> ['fortunate', 'apparently', 'evidently', 'supposedly', 'obviously']
apparent : apparently = free : freely -> ['free', 'apparently', 'webhost', 'webhosting', 'non-drafted']
apparent : apparently = furious : furiously -> ['furious', 'apparently', 'supposedly', 'distraught', 'secretly']
apparent : apparently = happy : happily -> ['happy', 'apparently', 'obviously', 'glad', 'sadly']
apparent : apparently = immediate : immediately -> ['immediate', 'apparently', 'evidently', 'supposedly', 'obviously']
apparent : apparently = infrequent : infrequently -> ['infrequent', 'apparently', 'infrequently', 'evidently', 'unfortunately']
apparent : apparently = lucky : luckily -> ['lucky', 'apparently', 'unlucky', 'luckily', 'actually']
apparent : apparently = most : mostly -> ['most', 'apparently', 'mostly', 'highly', 'historically']
apparent : apparently = obvious : obviously -> ['apparently', 'obviously', 'evidently', 'unfortunately', 'anyway']
apparent : apparently = occasional : occasionally -> ['occasional', 'apparently', 'occasionally', 'infrequent', 'mostly']
apparent : apparently = possible : possibly -> ['apparently', 'possible', 'obviously', 'presumably', 'possibly']
apparent : apparently = precise : precisely -> ['precise', 'apparently', 'obviously', 'evidently', 'actually']
apparent : apparently = professional : professionally -> ['professional', 'professionally', 'semi-professional', 'apparently', 'non-professional']
