amazing : amazingly = apparent : apparently -> ['apparent', 'amazingly', 'extremly', 'alarmingly', 'evident']
amazing : amazingly = calm : calmly -> ['calm', 'amazingly', 'unfailingly', 'remarkably', 'tolerably']
amazing : amazingly = cheerful : cheerfully -> ['cheerful', 'well-mannered', 'self-confident', 'amazingly', 'self-assured']
amazing : amazingly = complete : completely -> ['complete', 'amazingly', 'remarkably', 'tolerably', 'comprehensive']
amazing : amazingly = efficient : efficiently -> ['efficient', 'cost-efficient', 'amazingly', 'inefficient', 'aerodynamically']
amazing : amazingly = fortunate : fortunately -> ['fortunate', 'amazingly', 'temperamentally', 'remarkably', 'evidently']
amazing : amazingly = free : freely -> ['free', 'amazingly', 'tolerably', 'extremly', 'kinetically']
amazing : amazingly = furious : furiously -> ['furious', 'amazingly', 'uncharacteristically', 'shockingly', 'despondent']
amazing : amazingly = happy : happily -> ['happy', 'amazingly', 'terrifically', 'temperamentally', 'tolerably']
amazing : amazingly = immediate : immediately -> ['immediate', 'amazingly', 'extremly', 'inordinately', 'extraordinarily']
amazing : amazingly = infrequent : infrequently -> ['infrequent', 'amazingly', 'extremly', 'uncommonly', 'extremely']
amazing : amazingly = lucky : luckily -> ['lucky', 'amazingly', 'pathetically', 'phenomenally', 'shockingly']
amazing : amazingly = most : mostly -> ['most', 'amazingly', 'extremly', 'phenomenally', 'electorally']
amazing : amazingly = obvious : obviously -> ['obvious', 'amazingly', 'blindingly', 'self-evidently', 'extremly']
amazing : amazingly = occasional : occasionally -> ['occasional', 'amazingly', 'infrequent', 'uncommonly', 'uncharacteristically']
amazing : amazingly = possible : possibly -> ['possible', 'tolerably', 'sufficiently', 'amazingly', 'extremly']
amazing : amazingly = precise : precisely -> ['precise', 'amazingly', 'methodologically', 'tolerably', 'dimensionally']
amazing : amazingly = professional : professionally -> ['professional', 'proffesional', 'amazingly', 'tolerably', 'semi-professional']
amazing : amazingly = quick : quickly -> ['quick', 'amazingly', 'remarkably', 'devastatingly', 'terrifically']
amazing : amazingly = quiet : quietly -> ['quiet', 'amazingly', 'calm', 'remarkably', 'tolerably']
amazing : amazingly = rapid : rapidly -> ['rapid', 'remarkably', 'amazingly', 'devastatingly', 'thermodynamically']
amazing : amazingly = rare : rarely -> ['rare', 'amazingly', 'remarkably', 'tolerably', 'uncommonly']
amazing : amazingly = reluctant : reluctantly -> ['reluctant', 'hesitant', 'unwilling', 'willing', 'reticent']
amazing : amazingly = safe : safely -> ['safe', 'remarkably', 'tolerably', 'amazingly', 'reasonably']
amazing : amazingly = serious : seriously -> ['serious', 'amazingly', 'surmountable', 'terrifically', 'tolerably']
amazing : amazingly = slow : slowly -> ['slow', 'amazingly', 'frustratingly', 'excruciatingly', 'sluggish']
amazing : amazingly = sudden : suddenly -> ['sudden', 'frighteningly', 'ludicrously', 'staggeringly', 'well-timed']
amazing : amazingly = swift : swiftly -> ['swift', 'devastatingly', 'amazingly', 'uncharacteristically', 'frighteningly']
amazing : amazingly = typical : typically -> ['typical', 'remarkably', 'comparably', 'tolerably', 'staggeringly']
amazing : amazingly = unfortunate : unfortunately -> ['unfortunate', 'amazingly', 'extremly', 'shockingly', 'laughably']
amazing : amazingly = usual : usually -> ['usual', 'amazingly', 'ludicrously', 'remarkably', 'staggeringly']
apparent : apparently = calm : calmly -> ['calm', 'apparently', 'evidently', 'scrupulously', 'seemingly']
apparent : apparently = cheerful : cheerfully -> ['cheerful', 'warm-hearted', 'good-hearted', 'kindhearted', 'kind-hearted']
apparent : apparently = complete : completely -> ['complete', 'apparently', 'evidently', 'completely', 'totally']
apparent : apparently = efficient : efficiently -> ['efficient', 'apparently', 'aerodynamically', 'evidently', 'inefficient']
apparent : apparently = fortunate : fortunately -> ['fortunate', 'apparently', 'evidently', 'presumably', 'supposedly']
apparent : apparently = free : freely -> ['free', 'apparently', 'presumably', 'free-of-charge', 'evidently']
apparent : apparently = furious : furiously -> ['furious', 'apparently', 'reportedly', 'evidently', 'dejected']
